architecture,optical_grade,emissivity_grade,abs_per_pass,total_absorption_fraction,absorbed_solar_power_W,total_heat_load_W,heat_store_energy_J,heat_store_energy_MJ,dwell_time_years,emissivity,thermal_luminosity_W,wien_peak_um,detector_diameter_m,pointed_detection_distance_m,pointed_detection_distance_EM,survey_detection_distance_m,survey_detection_distance_EM,heat_store_material_class,heat_store_density_kg_m3,heat_store_usable_energy_j_kg,Temperature K,Verdict
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.0001,1.4516158512640001e-08,724.5,1.0,4588631.084036935,0.01193712560883698,145105.25567804213,0.00037748505639449047,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.0001,1.4516158512640001e-08,724.5,6.5,29826102.04624008,0.07759131645744037,943184.1619072739,0.002453652866564188,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.0001,1.4516158512640001e-08,724.5,30.0,137658932.52110806,0.35811376826510943,4353157.670341264,0.011324551691834715,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,156200000.0,156.2,18.184070775518816,0.0001,1.4516158512640001e-08,724.5,1.0,4588631.084036935,0.01193712560883698,145105.25567804213,0.00037748505639449047,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,156200000.0,156.2,18.184070775518816,0.0001,1.4516158512640001e-08,724.5,6.5,29826102.04624008,0.07759131645744037,943184.1619072739,0.002453652866564188,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,156200000.0,156.2,18.184070775518816,0.0001,1.4516158512640001e-08,724.5,30.0,137658932.52110806,0.35811376826510943,4353157.670341264,0.011324551691834715,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,1562000000.0,1562.0,181.84070775518813,0.0001,1.4516158512640001e-08,724.5,1.0,4588631.084036935,0.01193712560883698,145105.25567804213,0.00037748505639449047,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,1562000000.0,1562.0,181.84070775518813,0.0001,1.4516158512640001e-08,724.5,6.5,29826102.04624008,0.07759131645744037,943184.1619072739,0.002453652866564188,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,1562000000.0,1562.0,181.84070775518813,0.0001,1.4516158512640001e-08,724.5,30.0,137658932.52110806,0.35811376826510943,4353157.670341264,0.011324551691834715,liquid hydrogen,71.0,220000.0,4.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.0001,5.670374419e-07,289.8,1.0,18138156.959755275,0.04718563204931133,573578.8855046172,0.0014921407011046234,liquid hydrogen,71.0,220000.0,10.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.0001,5.670374419e-07,289.8,6.5,117898020.2384093,0.30670660832052365,3728262.755780012,0.009698914557180052,liquid hydrogen,71.0,220000.0,10.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,15620000.0,15.62,1.8184070775518817,0.0001,5.670374419e-07,289.8,30.0,544144708.7926582,1.4155689614793399,17207366.565138515,0.0447642210331387,liquid hydrogen,71.0,220000.0,10.0,Strong
mirror,A,A,1e-05,1.9999899999900705e-05,0.2721986389986486,0.2721986389986486,156200000.0,156.2,18.184070775518816,0.0001,5.670374419e-07,289.8,1.0,18138156.959755275,0.04718563204931133,573578.8855046172,0.0014921407011046234,liquid hydrogen,71.0,220000.0,10.0,Strong
