Temperature K,Wien peak um,Emissivity grade,Emissivity,Thermal luminosity W
4,724.5,A,0.0001,1.4516158512640001e-08
4,724.5,B,0.001,1.451615851264e-07
4,724.5,C,0.01,1.4516158512639998e-06
4,724.5,D,0.1,1.451615851264e-05
10,289.8,A,0.0001,5.670374419e-07
10,289.8,B,0.001,5.670374419e-06
10,289.8,C,0.01,5.670374418999999e-05
10,289.8,D,0.1,0.0005670374419
20,144.9,A,0.0001,9.0725990704e-06
20,144.9,B,0.001,9.0725990704e-05
20,144.9,C,0.01,0.0009072599070399999
20,144.9,D,0.1,0.0090725990704
50,57.96,A,0.0001,0.0003543984011875
50,57.96,B,0.001,0.0035439840118749997
50,57.96,C,0.01,0.035439840118749996
50,57.96,D,0.1,0.3543984011875
